CUSTOMER -> | id customer:81 | n. bought products:35 | time in the supermarket: 19.574 s | time in queue: 19.406 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:113 | n. bought products:31 | time in the supermarket: 13.287 s | time in queue: 13.244 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:117 | n. bought products:54 | time in the supermarket: 12.019 s | time in queue: 11.839 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:114 | n. bought products:36 | time in the supermarket: 13.051 s | time in queue: 12.980 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:85 | n. bought products:82 | time in the supermarket: 20.375 s | time in queue: 20.269 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:115 | n. bought products:18 | time in the supermarket: 13.445 s | time in queue: 13.321 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:123 | n. bought products:60 | time in the supermarket: 11.635 s | time in queue: 11.612 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:137 | n. bought products:36 | time in the supermarket: 9.551 s | time in queue: 9.483 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:124 | n. bought products:42 | time in the supermarket: 12.528 s | time in queue: 12.477 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:86 | n. bought products:88 | time in the supermarket: 22.212 s | time in queue: 22.102 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:139 | n. bought products:72 | time in the supermarket: 9.710 s | time in queue: 9.562 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:90 | n. bought products:35 | time in the supermarket: 21.511 s | time in queue: 21.463 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:125 | n. bought products:95 | time in the supermarket: 14.480 s | time in queue: 14.424 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:92 | n. bought products:70 | time in the supermarket: 22.989 s | time in queue: 22.836 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:126 | n. bought products:77 | time in the supermarket: 15.850 s | time in queue: 15.766 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:97 | n. bought products:47 | time in the supermarket: 22.501 s | time in queue: 22.383 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:108 | n. bought products:30 | time in the supermarket: 20.975 s | time in queue: 20.874 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:128 | n. bought products:37 | time in the supermarket: 16.642 s | time in queue: 16.454 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:130 | n. bought products:72 | time in the supermarket: 17.270 s | time in queue: 17.225 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:129 | n. bought products:18 | time in the supermarket: 17.683 s | time in queue: 17.490 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:120 | n. bought products:95 | time in the supermarket: 19.482 s | time in queue: 19.367 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:122 | n. bought products:54 | time in the supermarket: 20.638 s | time in queue: 20.468 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:132 | n. bought products:84 | time in the supermarket: 18.816 s | time in queue: 18.690 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:127 | n. bought products:31 | time in the supermarket: 20.430 s | time in queue: 20.270 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:131 | n. bought products:54 | time in the supermarket: 20.724 s | time in queue: 20.625 s | n. queues checked: 1 | 
CASHIER -> | id:1 | n. bought products:1994 | n. customers:38 | time opened: 43.221 s | avg service time: 1.101 s | number of clousure:1 |
CASHIER -> | id:2 | n. bought products:1673 | n. customers:36 | time opened: 43.221 s | avg service time: 0.963 s | number of clousure:1 |
CASHIER -> | id:3 | n. bought products:2017 | n. customers:37 | time opened: 43.221 s | avg service time: 1.167 s | number of clousure:1 |
CASHIER -> | id:4 | n. bought products:962 | n. customers:17 | time opened: 37.220 s | avg service time: 1.206 s | number of clousure:1 |
CASHIER -> | id:5 | n. bought products:276 | n. customers:7 | time opened: 12.002 s | avg service time: 0.864 s | number of clousure:1 |
CASHIER -> | id:6 | n. bought products:233 | n. customers:4 | time opened: 25.218 s | avg service time: 1.206 s | number of clousure:1 |
TOTAL CUSTOMERS SERVED: 139
TOTAL PRODUCTS BOUGHT: 7155
